Kod,Powiat,Płeć,Rok,Ludność,Bezrobotni,Ludność_wiek_prod,Wynagrodzenie_przeciętne
201000,Powiat bolesławiecki,ogółem,2015,90199,2375,57119,3548.69
201000,Powiat bolesławiecki,ogółem,2016,90180,1852,56465,3666.19
201000,Powiat bolesławiecki,ogółem,2017,90173,1389,55786,3901.94
201000,Powiat bolesławiecki,ogółem,2018,90200,1283,55216,4214.66
201000,Powiat bolesławiecki,ogółem,2019,90103,1293,54676,4545.34
201000,Powiat bolesławiecki,ogółem,2020,88524,1885,52714,4887.95
201000,Powiat bolesławiecki,ogółem,2021,88275,1570,52260,5461.94
201000,Powiat bolesławiecki,ogółem,2022,87922,973,51621,6181.6
201000,Powiat bolesławiecki,ogółem,2023,87642,886,51095,6871.28
201000,Powiat bolesławiecki,ogółem,2024,87255,960,50684,7871.38
201000,Powiat bolesławiecki,mężczyźni,2015,43810,1142,30479,NA
201000,Powiat bolesławiecki,mężczyźni,2016,43783,871,30201,NA
201000,Powiat bolesławiecki,mężczyźni,2017,43804,620,29910,NA
201000,Powiat bolesławiecki,mężczyźni,2018,43798,519,29638,NA
201000,Powiat bolesławiecki,mężczyźni,2019,43739,544,29331,NA
201000,Powiat bolesławiecki,mężczyźni,2020,42966,856,28314,NA
201000,Powiat bolesławiecki,mężczyźni,2021,42798,675,28019,NA
201000,Powiat bolesławiecki,mężczyźni,2022,42656,454,27669,NA
201000,Powiat bolesławiecki,mężczyźni,2023,42477,423,27261,NA
201000,Powiat bolesławiecki,mężczyźni,2024,42244,442,26977,NA
201000,Powiat bolesławiecki,kobiety,2015,46389,1233,26640,NA
201000,Powiat bolesławiecki,kobiety,2016,46397,981,26264,NA
201000,Powiat bolesławiecki,kobiety,2017,46369,769,25876,NA
201000,Powiat bolesławiecki,kobiety,2018,46402,764,25578,NA
201000,Powiat bolesławiecki,kobiety,2019,46364,749,25345,NA
201000,Powiat bolesławiecki,kobiety,2020,45558,1029,24400,NA
201000,Powiat bolesławiecki,kobiety,2021,45477,895,24241,NA
201000,Powiat bolesławiecki,kobiety,2022,45266,519,23952,NA
201000,Powiat bolesławiecki,kobiety,2023,45165,463,23834,NA
201000,Powiat bolesławiecki,kobiety,2024,45011,518,23707,NA
202000,Powiat dzierżoniowski,ogółem,2015,103349,3436,64422,3406.18
202000,Powiat dzierżoniowski,ogółem,2016,102649,2877,63250,3562.63
202000,Powiat dzierżoniowski,ogółem,2017,102077,2123,62094,3825.15
202000,Powiat dzierżoniowski,ogółem,2018,101437,1754,60894,4024.94
202000,Powiat dzierżoniowski,ogółem,2019,100813,1468,59700,4484.28
202000,Powiat dzierżoniowski,ogółem,2020,97985,1949,56948,4690.2
202000,Powiat dzierżoniowski,ogółem,2021,96884,1511,55833,5127.97
202000,Powiat dzierżoniowski,ogółem,2022,95863,1510,54806,5723.65
202000,Powiat dzierżoniowski,ogółem,2023,94740,1593,53771,6459.49
202000,Powiat dzierżoniowski,ogółem,2024,93863,1739,52942,7427.26
202000,Powiat dzierżoniowski,mężczyźni,2015,49206,1668,34400,NA
202000,Powiat dzierżoniowski,mężczyźni,2016,48906,1376,33852,NA
202000,Powiat dzierżoniowski,mężczyźni,2017,48633,962,33257,NA
202000,Powiat dzierżoniowski,mężczyźni,2018,48355,840,32716,NA
202000,Powiat dzierżoniowski,mężczyźni,2019,48017,710,32117,NA
202000,Powiat dzierżoniowski,mężczyźni,2020,46501,971,30559,NA
202000,Powiat dzierżoniowski,mężczyźni,2021,45958,718,29896,NA
202000,Powiat dzierżoniowski,mężczyźni,2022,45452,766,29269,NA
202000,Powiat dzierżoniowski,mężczyźni,2023,44903,789,28663,NA
202000,Powiat dzierżoniowski,mężczyźni,2024,44496,874,28169,NA
202000,Powiat dzierżoniowski,kobiety,2015,54143,1768,30022,NA
202000,Powiat dzierżoniowski,kobiety,2016,53743,1501,29398,NA
202000,Powiat dzierżoniowski,kobiety,2017,53444,1161,28837,NA
202000,Powiat dzierżoniowski,kobiety,2018,53082,914,28178,NA
202000,Powiat dzierżoniowski,kobiety,2019,52796,758,27583,NA
202000,Powiat dzierżoniowski,kobiety,2020,51484,978,26389,NA
202000,Powiat dzierżoniowski,kobiety,2021,50926,793,25937,NA
202000,Powiat dzierżoniowski,kobiety,2022,50411,744,25537,NA
202000,Powiat dzierżoniowski,kobiety,2023,49837,804,25108,NA
202000,Powiat dzierżoniowski,kobiety,2024,49367,865,24773,NA
203000,Powiat głogowski,ogółem,2015,90205,3674,56450,3615.99
203000,Powiat głogowski,ogółem,2016,89989,2995,55341,3723.59
203000,Powiat głogowski,ogółem,2017,89933,2638,54476,3918.42
203000,Powiat głogowski,ogółem,2018,89541,2602,53452,4077.69
203000,Powiat głogowski,ogółem,2019,89102,2036,52515,4427.98
203000,Powiat głogowski,ogółem,2020,86797,2232,50193,4763.21
203000,Powiat głogowski,ogółem,2021,86376,2083,49474,5171.28
203000,Powiat głogowski,ogółem,2022,85689,1747,48778,5856.76
203000,Powiat głogowski,ogółem,2023,85043,1761,48205,6660
203000,Powiat głogowski,ogółem,2024,84387,1776,47681,7768.43
203000,Powiat głogowski,mężczyźni,2015,43887,1380,30049,NA
203000,Powiat głogowski,mężczyźni,2016,43782,1194,29472,NA
203000,Powiat głogowski,mężczyźni,2017,43815,967,29082,NA
203000,Powiat głogowski,mężczyźni,2018,43598,908,28557,NA
203000,Powiat głogowski,mężczyźni,2019,43353,718,28041,NA
203000,Powiat głogowski,mężczyźni,2020,42129,798,26753,NA
203000,Powiat głogowski,mężczyźni,2021,41877,785,26362,NA
203000,Powiat głogowski,mężczyźni,2022,41537,686,25936,NA
203000,Powiat głogowski,mężczyźni,2023,41153,673,25547,NA
203000,Powiat głogowski,mężczyźni,2024,40823,688,25218,NA
203000,Powiat głogowski,kobiety,2015,46318,2294,26401,NA
203000,Powiat głogowski,kobiety,2016,46207,1801,25869,NA
203000,Powiat głogowski,kobiety,2017,46118,1671,25394,NA
203000,Powiat głogowski,kobiety,2018,45943,1694,24895,NA
203000,Powiat głogowski,kobiety,2019,45749,1318,24474,NA
203000,Powiat głogowski,kobiety,2020,44668,1434,23440,NA
203000,Powiat głogowski,kobiety,2021,44499,1298,23112,NA
203000,Powiat głogowski,kobiety,2022,44152,1061,22842,NA
203000,Powiat głogowski,kobiety,2023,43890,1088,22658,NA
203000,Powiat głogowski,kobiety,2024,43564,1088,22463,NA
204000,Powiat górowski,ogółem,2015,35940,2565,22578,3242.71
204000,Powiat górowski,ogółem,2016,35715,2059,22340,3386.93
204000,Powiat górowski,ogółem,2017,35473,1816,21955,3484.31
204000,Powiat górowski,ogółem,2018,35182,1671,21605,3815.89
204000,Powiat górowski,ogółem,2019,34870,1530,21237,3978.78
204000,Powiat górowski,ogółem,2020,33376,1713,19825,4432.4
204000,Powiat górowski,ogółem,2021,33027,1521,19457,4862.88
204000,Powiat górowski,ogółem,2022,32738,1282,19149,5423.11
204000,Powiat górowski,ogółem,2023,32459,1302,18938,6060.11
204000,Powiat górowski,ogółem,2024,32054,1307,18655,7343.09
204000,Powiat górowski,mężczyźni,2015,17768,1148,12181,NA
204000,Powiat górowski,mężczyźni,2016,17684,928,12063,NA
204000,Powiat górowski,mężczyźni,2017,17570,764,11879,NA
204000,Powiat górowski,mężczyźni,2018,17434,664,11699,NA
204000,Powiat górowski,mężczyźni,2019,17278,623,11518,NA
204000,Powiat górowski,mężczyźni,2020,16576,756,10857,NA
204000,Powiat górowski,mężczyźni,2021,16391,659,10666,NA
204000,Powiat górowski,mężczyźni,2022,16255,547,10482,NA
204000,Powiat górowski,mężczyźni,2023,16101,565,10330,NA
204000,Powiat górowski,mężczyźni,2024,15861,580,10135,NA
204000,Powiat górowski,kobiety,2015,18172,1417,10397,NA
204000,Powiat górowski,kobiety,2016,18031,1131,10277,NA
204000,Powiat górowski,kobiety,2017,17903,1052,10076,NA
204000,Powiat górowski,kobiety,2018,17748,1007,9906,NA
204000,Powiat górowski,kobiety,2019,17592,907,9719,NA
204000,Powiat górowski,kobiety,2020,16800,957,8968,NA
204000,Powiat górowski,kobiety,2021,16636,862,8791,NA
204000,Powiat górowski,kobiety,2022,16483,735,8667,NA
204000,Powiat górowski,kobiety,2023,16358,737,8608,NA
204000,Powiat górowski,kobiety,2024,16193,727,8520,NA
205000,Powiat jaworski,ogółem,2015,51451,2785,32791,3323.37
205000,Powiat jaworski,ogółem,2016,51176,2544,32258,3546.24
205000,Powiat jaworski,ogółem,2017,50947,2154,31729,3756.46
205000,Powiat jaworski,ogółem,2018,50545,1956,31002,4029.64
205000,Powiat jaworski,ogółem,2019,50116,1698,30338,4408
205000,Powiat jaworski,ogółem,2020,48626,1885,28643,4932.98
205000,Powiat jaworski,ogółem,2021,48029,1635,27985,5554.54
205000,Powiat jaworski,ogółem,2022,47584,1605,27512,6142.84
205000,Powiat jaworski,ogółem,2023,47213,1550,27107,7059.41
205000,Powiat jaworski,ogółem,2024,46822,1564,26779,8025.17
205000,Powiat jaworski,mężczyźni,2015,25234,1410,17694,NA
205000,Powiat jaworski,mężczyźni,2016,25068,1236,17417,NA
205000,Powiat jaworski,mężczyźni,2017,24949,1020,17166,NA
205000,Powiat jaworski,mężczyźni,2018,24746,869,16782,NA
205000,Powiat jaworski,mężczyźni,2019,24573,763,16478,NA
205000,Powiat jaworski,mężczyźni,2020,23806,894,15589,NA
205000,Powiat jaworski,mężczyźni,2021,23521,749,15204,NA
205000,Powiat jaworski,mężczyźni,2022,23299,755,14923,NA
205000,Powiat jaworski,mężczyźni,2023,23119,734,14676,NA
205000,Powiat jaworski,mężczyźni,2024,22913,788,14447,NA
205000,Powiat jaworski,kobiety,2015,26217,1375,15097,NA
205000,Powiat jaworski,kobiety,2016,26108,1308,14841,NA
205000,Powiat jaworski,kobiety,2017,25998,1134,14563,NA
205000,Powiat jaworski,kobiety,2018,25799,1087,14220,NA
205000,Powiat jaworski,kobiety,2019,25543,935,13860,NA
205000,Powiat jaworski,kobiety,2020,24820,991,13054,NA
205000,Powiat jaworski,kobiety,2021,24508,886,12781,NA
205000,Powiat jaworski,kobiety,2022,24285,850,12589,NA
205000,Powiat jaworski,kobiety,2023,24094,816,12431,NA
205000,Powiat jaworski,kobiety,2024,23909,776,12332,NA
206000,Powiat karkonoski,ogółem,2015,64599,2490,41286,3413.66
206000,Powiat karkonoski,ogółem,2016,64395,2224,40658,3548.55
206000,Powiat karkonoski,ogółem,2017,64178,1795,39943,3760.49
206000,Powiat karkonoski,ogółem,2018,63855,1734,39282,4035.56
206000,Powiat karkonoski,ogółem,2019,63591,1594,38646,4353.43
206000,Powiat karkonoski,ogółem,2020,61884,1945,36504,4526.41
206000,Powiat karkonoski,ogółem,2021,61469,1933,35956,5050.91
206000,Powiat karkonoski,ogółem,2022,61016,1638,35506,5627.61
206000,Powiat karkonoski,ogółem,2023,60438,1613,34993,6287.2
206000,Powiat karkonoski,ogółem,2024,59864,1620,34663,7244.18
206000,Powiat karkonoski,mężczyźni,2015,31200,1402,22054,NA
206000,Powiat karkonoski,mężczyźni,2016,31120,1211,21810,NA
206000,Powiat karkonoski,mężczyźni,2017,31009,919,21474,NA
206000,Powiat karkonoski,mężczyźni,2018,30867,885,21092,NA
206000,Powiat karkonoski,mężczyźni,2019,30760,805,20786,NA
206000,Powiat karkonoski,mężczyźni,2020,29830,996,19586,NA
206000,Powiat karkonoski,mężczyźni,2021,29614,981,19185,NA
206000,Powiat karkonoski,mężczyźni,2022,29389,844,18882,NA
206000,Powiat karkonoski,mężczyźni,2023,29129,845,18569,NA
206000,Powiat karkonoski,mężczyźni,2024,28854,858,18339,NA
206000,Powiat karkonoski,kobiety,2015,33399,1088,19232,NA
206000,Powiat karkonoski,kobiety,2016,33275,1013,18848,NA
206000,Powiat karkonoski,kobiety,2017,33169,876,18469,NA
206000,Powiat karkonoski,kobiety,2018,32988,849,18190,NA
206000,Powiat karkonoski,kobiety,2019,32831,789,17860,NA
206000,Powiat karkonoski,kobiety,2020,32054,949,16918,NA
206000,Powiat karkonoski,kobiety,2021,31855,952,16771,NA
206000,Powiat karkonoski,kobiety,2022,31627,794,16624,NA
206000,Powiat karkonoski,kobiety,2023,31309,768,16424,NA
206000,Powiat karkonoski,kobiety,2024,31010,762,16324,NA
207000,Powiat kamiennogórski,ogółem,2015,44402,1619,28016,3269.22
207000,Powiat kamiennogórski,ogółem,2016,44262,1447,27603,3460.07
207000,Powiat kamiennogórski,ogółem,2017,43999,1016,27123,3661.88
207000,Powiat kamiennogórski,ogółem,2018,43621,825,26650,4013.33
207000,Powiat kamiennogórski,ogółem,2019,43239,776,26206,4319.48
207000,Powiat kamiennogórski,ogółem,2020,41817,1066,24818,4532.19
207000,Powiat kamiennogórski,ogółem,2021,41244,792,24291,4885.26
207000,Powiat kamiennogórski,ogółem,2022,40786,735,23903,5550.65
207000,Powiat kamiennogórski,ogółem,2023,40319,726,23611,6213.96
207000,Powiat kamiennogórski,ogółem,2024,39875,894,23273,7163.52
207000,Powiat kamiennogórski,mężczyźni,2015,21697,967,15221,NA
207000,Powiat kamiennogórski,mężczyźni,2016,21612,833,15036,NA
207000,Powiat kamiennogórski,mężczyźni,2017,21492,550,14808,NA
207000,Powiat kamiennogórski,mężczyźni,2018,21297,422,14566,NA
207000,Powiat kamiennogórski,mężczyźni,2019,21140,399,14357,NA
207000,Powiat kamiennogórski,mężczyźni,2020,20383,570,13547,NA
207000,Powiat kamiennogórski,mężczyźni,2021,20118,398,13259,NA
207000,Powiat kamiennogórski,mężczyźni,2022,19896,385,13026,NA
207000,Powiat kamiennogórski,mężczyźni,2023,19623,373,12844,NA
207000,Powiat kamiennogórski,mężczyźni,2024,19396,480,12647,NA
207000,Powiat kamiennogórski,kobiety,2015,22705,652,12795,NA
207000,Powiat kamiennogórski,kobiety,2016,22650,614,12567,NA
207000,Powiat kamiennogórski,kobiety,2017,22507,466,12315,NA
207000,Powiat kamiennogórski,kobiety,2018,22324,403,12084,NA
207000,Powiat kamiennogórski,kobiety,2019,22099,377,11849,NA
207000,Powiat kamiennogórski,kobiety,2020,21434,496,11271,NA
207000,Powiat kamiennogórski,kobiety,2021,21126,394,11032,NA
207000,Powiat kamiennogórski,kobiety,2022,20890,350,10877,NA
207000,Powiat kamiennogórski,kobiety,2023,20696,353,10767,NA
207000,Powiat kamiennogórski,kobiety,2024,20479,414,10626,NA
208000,Powiat kłodzki,ogółem,2015,162465,10208,101738,3410.23
208000,Powiat kłodzki,ogółem,2016,161452,8064,99844,3526.67
208000,Powiat kłodzki,ogółem,2017,160465,6136,97913,3741.83
208000,Powiat kłodzki,ogółem,2018,159337,5717,95946,4054.23
208000,Powiat kłodzki,ogółem,2019,157996,5330,94021,4386.83
208000,Powiat kłodzki,ogółem,2020,152651,6159,88312,4747.93
208000,Powiat kłodzki,ogółem,2021,150515,5682,86361,5141.98
208000,Powiat kłodzki,ogółem,2022,148681,5399,84681,5670.31
208000,Powiat kłodzki,ogółem,2023,146952,5298,83313,6527.23
208000,Powiat kłodzki,ogółem,2024,145243,5756,82001,7584.64
208000,Powiat kłodzki,mężczyźni,2015,78409,5211,54598,NA
208000,Powiat kłodzki,mężczyźni,2016,77901,3971,53725,NA
208000,Powiat kłodzki,mężczyźni,2017,77467,2948,52806,NA
208000,Powiat kłodzki,mężczyźni,2018,76950,2705,51865,NA
208000,Powiat kłodzki,mężczyźni,2019,76270,2557,50916,NA
208000,Powiat kłodzki,mężczyźni,2020,73355,3009,47699,NA
208000,Powiat kłodzki,mężczyźni,2021,72287,2923,46619,NA
208000,Powiat kłodzki,mężczyźni,2022,71412,2714,45646,NA
208000,Powiat kłodzki,mężczyźni,2023,70579,2719,44779,NA
208000,Powiat kłodzki,mężczyźni,2024,69808,2998,43993,NA
208000,Powiat kłodzki,kobiety,2015,84056,4997,47140,NA
208000,Powiat kłodzki,kobiety,2016,83551,4093,46119,NA
208000,Powiat kłodzki,kobiety,2017,82998,3188,45107,NA
208000,Powiat kłodzki,kobiety,2018,82387,3012,44081,NA
208000,Powiat kłodzki,kobiety,2019,81726,2773,43105,NA
208000,Powiat kłodzki,kobiety,2020,79296,3150,40613,NA
208000,Powiat kłodzki,kobiety,2021,78228,2759,39742,NA
208000,Powiat kłodzki,kobiety,2022,77269,2685,39035,NA
208000,Powiat kłodzki,kobiety,2023,76373,2579,38534,NA
208000,Powiat kłodzki,kobiety,2024,75435,2758,38008,NA
209000,Powiat legnicki,ogółem,2015,55051,2600,35275,3403.32
209000,Powiat legnicki,ogółem,2016,55182,2345,34940,3579.41
209000,Powiat legnicki,ogółem,2017,55233,2100,34555,3774.63
209000,Powiat legnicki,ogółem,2018,55326,1921,34180,4185.47
209000,Powiat legnicki,ogółem,2019,55166,1643,33677,4652.61
209000,Powiat legnicki,ogółem,2020,55038,1940,32803,4877.07
209000,Powiat legnicki,ogółem,2021,55083,1734,32534,5452.05
209000,Powiat legnicki,ogółem,2022,55032,1681,32139,6116.35
209000,Powiat legnicki,ogółem,2023,55032,1530,31831,6977.28
209000,Powiat legnicki,ogółem,2024,54967,1461,31756,7647.4
209000,Powiat legnicki,mężczyźni,2015,26935,1250,18862,NA
209000,Powiat legnicki,mężczyźni,2016,27026,1096,18733,NA
209000,Powiat legnicki,mężczyźni,2017,27068,960,18547,NA
209000,Powiat legnicki,mężczyźni,2018,27143,835,18397,NA
209000,Powiat legnicki,mężczyźni,2019,27060,712,18133,NA
209000,Powiat legnicki,mężczyźni,2020,26970,903,17668,NA
209000,Powiat legnicki,mężczyźni,2021,26974,784,17519,NA
209000,Powiat legnicki,mężczyźni,2022,26928,773,17291,NA
209000,Powiat legnicki,mężczyźni,2023,26915,713,17091,NA
209000,Powiat legnicki,mężczyźni,2024,26882,703,16993,NA
209000,Powiat legnicki,kobiety,2015,28116,1350,16413,NA
209000,Powiat legnicki,kobiety,2016,28156,1249,16207,NA
209000,Powiat legnicki,kobiety,2017,28165,1140,16008,NA
209000,Powiat legnicki,kobiety,2018,28183,1086,15783,NA
209000,Powiat legnicki,kobiety,2019,28106,931,15544,NA
209000,Powiat legnicki,kobiety,2020,28068,1037,15135,NA
209000,Powiat legnicki,kobiety,2021,28109,950,15015,NA
209000,Powiat legnicki,kobiety,2022,28104,908,14848,NA
209000,Powiat legnicki,kobiety,2023,28117,817,14740,NA
209000,Powiat legnicki,kobiety,2024,28085,758,14763,NA
210000,Powiat lubański,ogółem,2015,55533,2434,35053,3313.97
210000,Powiat lubański,ogółem,2016,55238,1938,34477,3431.31
210000,Powiat lubański,ogółem,2017,54991,1577,33983,3622.21
210000,Powiat lubański,ogółem,2018,54699,1234,33469,3939.03
210000,Powiat lubański,ogółem,2019,54254,1167,32923,4173.43
210000,Powiat lubański,ogółem,2020,52944,1511,31330,4508.29
210000,Powiat lubański,ogółem,2021,52372,1184,30717,4980.17
210000,Powiat lubański,ogółem,2022,51886,1053,30270,5516.56
210000,Powiat lubański,ogółem,2023,51410,1001,29878,6215.31
210000,Powiat lubański,ogółem,2024,50909,1057,29438,7242.93
210000,Powiat lubański,mężczyźni,2015,27058,1194,18964,NA
210000,Powiat lubański,mężczyźni,2016,26919,938,18693,NA
210000,Powiat lubański,mężczyźni,2017,26793,764,18458,NA
210000,Powiat lubański,mężczyźni,2018,26645,568,18190,NA
210000,Powiat lubański,mężczyźni,2019,26452,554,17896,NA
210000,Powiat lubański,mężczyźni,2020,25656,766,16932,NA
210000,Powiat lubański,mężczyźni,2021,25336,608,16607,NA
210000,Powiat lubański,mężczyźni,2022,25103,548,16316,NA
210000,Powiat lubański,mężczyźni,2023,24852,526,16088,NA
210000,Powiat lubański,mężczyźni,2024,24611,606,15843,NA
210000,Powiat lubański,kobiety,2015,28475,1240,16089,NA
210000,Powiat lubański,kobiety,2016,28319,1000,15784,NA
210000,Powiat lubański,kobiety,2017,28198,813,15525,NA
210000,Powiat lubański,kobiety,2018,28054,666,15279,NA
210000,Powiat lubański,kobiety,2019,27802,613,15027,NA
210000,Powiat lubański,kobiety,2020,27288,745,14398,NA
210000,Powiat lubański,kobiety,2021,27036,576,14110,NA
210000,Powiat lubański,kobiety,2022,26783,505,13954,NA
210000,Powiat lubański,kobiety,2023,26558,475,13790,NA
210000,Powiat lubański,kobiety,2024,26298,451,13595,NA
211000,Powiat lubiński,ogółem,2015,106319,2569,66158,6955.85
211000,Powiat lubiński,ogółem,2016,106355,2210,65192,7170.21
211000,Powiat lubiński,ogółem,2017,106320,1839,64082,7515.99
211000,Powiat lubiński,ogółem,2018,106254,1765,63004,7915.01
211000,Powiat lubiński,ogółem,2019,106150,1475,62093,8274.57
211000,Powiat lubiński,ogółem,2020,104480,1760,60205,8920.41
211000,Powiat lubiński,ogółem,2021,103927,1334,59282,10076.64
211000,Powiat lubiński,ogółem,2022,103426,1298,58619,11361.51
211000,Powiat lubiński,ogółem,2023,102872,1243,58101,12804.03
211000,Powiat lubiński,ogółem,2024,102376,1313,57671,13672.98
211000,Powiat lubiński,mężczyźni,2015,51550,1003,35085,NA
211000,Powiat lubiński,mężczyźni,2016,51478,822,34588,NA
211000,Powiat lubiński,mężczyźni,2017,51424,632,33982,NA
211000,Powiat lubiński,mężczyźni,2018,51345,598,33416,NA
211000,Powiat lubiński,mężczyźni,2019,51288,488,32983,NA
211000,Powiat lubiński,mężczyźni,2020,50302,593,31972,NA
211000,Powiat lubiński,mężczyźni,2021,49984,475,31420,NA
211000,Powiat lubiński,mężczyźni,2022,49689,478,30970,NA
211000,Powiat lubiński,mężczyźni,2023,49379,515,30670,NA
211000,Powiat lubiński,mężczyźni,2024,49109,523,30400,NA
211000,Powiat lubiński,kobiety,2015,54769,1566,31073,NA
211000,Powiat lubiński,kobiety,2016,54877,1388,30604,NA
211000,Powiat lubiński,kobiety,2017,54896,1207,30100,NA
211000,Powiat lubiński,kobiety,2018,54909,1167,29588,NA
211000,Powiat lubiński,kobiety,2019,54862,987,29110,NA
211000,Powiat lubiński,kobiety,2020,54178,1167,28233,NA
211000,Powiat lubiński,kobiety,2021,53943,859,27862,NA
211000,Powiat lubiński,kobiety,2022,53737,820,27649,NA
211000,Powiat lubiński,kobiety,2023,53493,728,27431,NA
211000,Powiat lubiński,kobiety,2024,53267,790,27271,NA
212000,Powiat lwówecki,ogółem,2015,46677,2803,29912,3323.95
212000,Powiat lwówecki,ogółem,2016,46527,2399,29464,3420.2
212000,Powiat lwówecki,ogółem,2017,46360,1778,28979,3570.16
212000,Powiat lwówecki,ogółem,2018,46059,1645,28450,3950.65
212000,Powiat lwówecki,ogółem,2019,45925,1477,28012,4284.69
212000,Powiat lwówecki,ogółem,2020,44033,1535,26251,4622.42
212000,Powiat lwówecki,ogółem,2021,43473,1091,25664,5049.64
212000,Powiat lwówecki,ogółem,2022,43157,1037,25231,5580.03
212000,Powiat lwówecki,ogółem,2023,42817,1034,24813,6194.99
212000,Powiat lwówecki,ogółem,2024,42465,1029,24462,7241.91
212000,Powiat lwówecki,mężczyźni,2015,22778,1476,16198,NA
212000,Powiat lwówecki,mężczyźni,2016,22697,1193,15974,NA
212000,Powiat lwówecki,mężczyźni,2017,22623,905,15760,NA
212000,Powiat lwówecki,mężczyźni,2018,22447,793,15474,NA
212000,Powiat lwówecki,mężczyźni,2019,22352,732,15236,NA
212000,Powiat lwówecki,mężczyźni,2020,21495,732,14326,NA
212000,Powiat lwówecki,mężczyźni,2021,21188,546,13960,NA
212000,Powiat lwówecki,mężczyźni,2022,21045,542,13717,NA
212000,Powiat lwówecki,mężczyźni,2023,20882,513,13489,NA
212000,Powiat lwówecki,mężczyźni,2024,20703,485,13275,NA
212000,Powiat lwówecki,kobiety,2015,23899,1327,13714,NA
212000,Powiat lwówecki,kobiety,2016,23830,1206,13490,NA
212000,Powiat lwówecki,kobiety,2017,23737,873,13219,NA
212000,Powiat lwówecki,kobiety,2018,23612,852,12976,NA
212000,Powiat lwówecki,kobiety,2019,23573,745,12776,NA
212000,Powiat lwówecki,kobiety,2020,22538,803,11925,NA
212000,Powiat lwówecki,kobiety,2021,22285,545,11704,NA
212000,Powiat lwówecki,kobiety,2022,22112,495,11514,NA
212000,Powiat lwówecki,kobiety,2023,21935,521,11324,NA
212000,Powiat lwówecki,kobiety,2024,21762,544,11187,NA
213000,Powiat milicki,ogółem,2015,37213,1566,22971,3221.15
213000,Powiat milicki,ogółem,2016,37148,1299,22737,3349.75
213000,Powiat milicki,ogółem,2017,37125,1020,22440,3617.72
213000,Powiat milicki,ogółem,2018,37093,894,22171,3734.38
213000,Powiat milicki,ogółem,2019,36999,854,21909,3996.41
213000,Powiat milicki,ogółem,2020,36184,933,20934,4338.67
213000,Powiat milicki,ogółem,2021,36033,723,20667,4848.85
213000,Powiat milicki,ogółem,2022,35826,791,20439,5313.76
213000,Powiat milicki,ogółem,2023,35603,778,20278,6083.81
213000,Powiat milicki,ogółem,2024,35396,731,20208,7088.46
213000,Powiat milicki,mężczyźni,2015,18427,670,12460,NA
213000,Powiat milicki,mężczyźni,2016,18390,511,12365,NA
213000,Powiat milicki,mężczyźni,2017,18356,396,12200,NA
213000,Powiat milicki,mężczyźni,2018,18346,348,12073,NA
213000,Powiat milicki,mężczyźni,2019,18319,343,11926,NA
213000,Powiat milicki,mężczyźni,2020,17853,375,11406,NA
213000,Powiat milicki,mężczyźni,2021,17775,309,11240,NA
213000,Powiat milicki,mężczyźni,2022,17671,333,11089,NA
213000,Powiat milicki,mężczyźni,2023,17568,323,10991,NA
213000,Powiat milicki,mężczyźni,2024,17453,322,10911,NA
213000,Powiat milicki,kobiety,2015,18786,896,10511,NA
213000,Powiat milicki,kobiety,2016,18758,788,10372,NA
213000,Powiat milicki,kobiety,2017,18769,624,10240,NA
213000,Powiat milicki,kobiety,2018,18747,546,10098,NA
213000,Powiat milicki,kobiety,2019,18680,511,9983,NA
213000,Powiat milicki,kobiety,2020,18331,558,9528,NA
213000,Powiat milicki,kobiety,2021,18258,414,9427,NA
213000,Powiat milicki,kobiety,2022,18155,458,9350,NA
213000,Powiat milicki,kobiety,2023,18035,455,9287,NA
213000,Powiat milicki,kobiety,2024,17943,409,9297,NA
214000,Powiat oleśnicki,ogółem,2015,106486,3607,67347,3456.5
214000,Powiat oleśnicki,ogółem,2016,106794,2935,66769,3631.94
214000,Powiat oleśnicki,ogółem,2017,106907,2236,66137,3857.75
214000,Powiat oleśnicki,ogółem,2018,107062,1999,65414,4128.29
214000,Powiat oleśnicki,ogółem,2019,107269,1971,65014,4457.79
214000,Powiat oleśnicki,ogółem,2020,106650,2592,63611,4773.9
214000,Powiat oleśnicki,ogółem,2021,106409,2147,63050,5113.77
214000,Powiat oleśnicki,ogółem,2022,106481,2226,62816,5762.83
214000,Powiat oleśnicki,ogółem,2023,106516,2173,62437,6496
214000,Powiat oleśnicki,ogółem,2024,106706,2240,62403,7402.55
214000,Powiat oleśnicki,mężczyźni,2015,52056,1579,35929,NA
214000,Powiat oleśnicki,mężczyźni,2016,52181,1271,35619,NA
214000,Powiat oleśnicki,mężczyźni,2017,52198,938,35285,NA
214000,Powiat oleśnicki,mężczyźni,2018,52272,794,34900,NA
214000,Powiat oleśnicki,mężczyźni,2019,52423,825,34719,NA
214000,Powiat oleśnicki,mężczyźni,2020,52129,1117,34015,NA
214000,Powiat oleśnicki,mężczyźni,2021,51997,908,33678,NA
214000,Powiat oleśnicki,mężczyźni,2022,51976,1022,33464,NA
214000,Powiat oleśnicki,mężczyźni,2023,52018,1056,33234,NA
214000,Powiat oleśnicki,mężczyźni,2024,52074,1113,33182,NA
214000,Powiat oleśnicki,kobiety,2015,54430,2028,31418,NA
214000,Powiat oleśnicki,kobiety,2016,54613,1664,31150,NA
214000,Powiat oleśnicki,kobiety,2017,54709,1298,30852,NA
